Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2003061118,SBKG,111800Z,14006KT,9999,na,na,SCT025,BKN100,na,27/21,Q1015,NULL
2003061119,SBKG,111900Z,14006KT,9999,na,na,SCT023,BKN100,na,27/21,Q1014,NULL
2003061120,SBKG,112000Z,13008KT,9999,na,na,SCT020,BKN100,na,25/21,Q1015,NULL
2003061121,SBKG,112100Z,12007KT,9999,na,na,SCT020,SCT090,na,24/22,Q1016,NULL
2003061122,SBKG,112200Z,12007KT,9999,na,na,SCT020,na,na,24/21,Q1016,NULL
2003061123,SBKG,112300Z,12006KT,9999,na,na,SCT020,na,na,23/22,Q1017,NULL
2003061200,SBKG,120000Z,15006KT,CAVOK,na,na,na,na,na,22/21,Q1017,NULL
2003061201,SBKG,120100Z,13004KT,9999,na,na,BKN017,na,na,22/21,Q1018,NULL
2003061202,SBKG,120200Z,13004KT,9999,na,na,BKN017,na,na,22/21,Q1017,NULL
2003061203,SBKG,120300Z,16006KT,9999,na,na,SCT017,na,na,22/21,Q1017,NULL
2003061209,SBKG,120900Z,18004KT,9999,na,na,SCT012,SCT015,na,21/20,Q1015,NULL
2003061210,SBKG,121000Z,17008KT,8000,na,na,SCT013,BKN015,na,23/21,Q1017,NULL
2003061212,SBKG,121200Z,19008KT,5000,na,na,SCT015,BKN018,na,24/20,Q1017,NULL
2003061213,SBKG,121300Z,17010KT,9999,na,na,BKN017,SCT100,na,24/20,Q1017,NULL
2003061214,SBKG,121400Z,17008KT,9999,na,na,BKN010,SCT100,na,25/20,Q1016,NULL
2003061215,SBKG,121500Z,15006KT,9999,na,na,BKN020,na,na,26/19,Q1016,NULL
2003061216,SBKG,121600Z,15010KT,9999,na,na,SCT023,na,na,27/19,Q1015,NULL
2003061217,SBKG,121700Z,16008KT,9999,na,na,BKN023,na,na,27/19,Q1013,NULL
2003061218,SBKG,121800Z,16010KT,9999,na,na,SCT023,SCT300,na,27/18,Q1013,NULL
2003061219,SBKG,121900Z,15008KT,9999,na,na,SCT025,SCT100,na,27/17,Q1014,NULL
2003061220,SBKG,122000Z,15006KT,CAVOK,na,na,na,na,na,26/17,Q1014,NULL
2003061221,SBKG,122100Z,13007KT,CAVOK,na,na,na,na,na,24/18,Q1015,NULL
2003061222,SBKG,122200Z,15006KT,9999,na,na,FEW015,na,na,23/19,Q1015,NULL
2003061223,SBKG,122300Z,15006KT,CAVOK,na,na,na,na,na,22/19,Q1016,NULL
2003061300,SBKG,130000Z,16005KT,CAVOK,na,na,na,na,na,22/19,Q1016,NULL
2003061301,SBKG,130100Z,19004KT,CAVOK,na,na,na,na,na,21/19,Q1016,NULL
2003061302,SBKG,130200Z,19005KT,CAVOK,na,na,na,na,na,21/18,Q1016,NULL
2003061303,SBKG,130300Z,19002KT,CAVOK,na,na,na,na,na,20/18,Q1016,NULL
2003061309,SBKG,130900Z,21005KT,CAVOK,na,na,na,na,na,18/17,Q1016,NULL
2003061310,SBKG,131000Z,16002KT,CAVOK,na,na,na,na,na,20/18,Q1016,NULL
2003061311,SBKG,131100Z,21006KT,9999,na,na,FEW020,na,na,22/18,Q1017,NULL
2003061312,SBKG,131200Z,18006KT,9999,na,na,BKN023,na,na,23/18,Q1017,NULL
2003061313,SBKG,131300Z,18010KT,9999,na,na,BKN023,na,na,24/18,Q1016,NULL
2003061314,SBKG,131400Z,15008KT,9999,na,na,FEW025,BKN150,na,26/18,Q1016,NULL
2003061315,SBKG,131500Z,16010KT,9999,na,na,FEW025,BKN150,na,27/18,Q1015,NULL
