Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2016060905,SBKG,090500Z,11007KT,na,olarrr,na,na,BKN007,na,na,22/22,Q1018,na
2016060906,SBKG,090600Z,09006KT,na,olarrr,na,na,BKN007,na,na,22/22,Q1017,na
2016060907,SBKG,090700Z,09007KT,na,olarrr,BR,na,BKN006,na,na,22/22,Q1017,na
2016060908,SBKG,090800Z,08006KT,na,olarrr,BR,na,BKN007,na,na,22/21,Q1017,na
2016060909,SBKG,090900Z,09004KT,na,olarrr,BR,na,SCT004,BKN007,BKN018,22/22,Q1018,na
2016060909,SBKG,090935Z,10008KT,na,olarrr,BR,na,SCT004,SCT007,BKN019,22/21,Q1018,na
2016060910,SBKG,091000Z,09007KT,na,olarrr,na,na,FEW005,SCT011,BKN017,23/22,Q1019,na
2016060911,SBKG,091100Z,09010KT,na,olarrr,na,na,SCT011,SCT019,na,24/21,Q1019,na
2016060912,SBKG,091200Z,11008KT,na,olarrr,na,na,FEW017,BKN026,na,26/21,Q1020,na
2016060913,SBKG,091300Z,10008KT,na,olarrr,na,na,BKN026,na,na,26/21,Q1020,na
2016060914,SBKG,091400Z,07008KT,na,olarrr,na,na,BKN030,na,na,28/19,Q1019,na
2016060915,SBKG,091500Z,12008KT,na,olarrr,na,na,BKN032,na,na,27/21,Q1018,na
2016060916,SBKG,091600Z,11010KT,na,olarrr,na,na,SCT032,na,na,28/21,Q1017,na
2016060917,SBKG,091700Z,07009KT,na,olarrr,na,na,FEW039,na,na,29/20,Q1017,na
2016060918,SBKG,091800Z,09011KT,na,olarrr,na,na,SCT036,na,na,29/20,Q1016,na
2016060919,SBKG,091900Z,10012KT,na,olarrr,na,na,na,na,na,28/21,Q1017,na
2016060919,SBKG,091945Z,07011KT,na,olarrr,na,na,na,na,na,26/21,Q1016,na
2016061002,SBKG,100215Z,08010KT,na,olarrr,na,na,SCT004,BKN011,na,22/22,Q1019,na
2016061003,SBKG,100300Z,08009KT,na,olarrr,BR,na,SCT003,BKN012,na,22/22,Q1019,na
2016061004,SBKG,100400Z,08008KT,na,olarrr,BR,na,SCT003,BKN011,BKN022,22/22,Q1018,na
2016061005,SBKG,100500Z,09007KT,na,olarrr,BR,na,SCT003,BKN010,BKN024,22/22,Q1018,na
2016061006,SBKG,100600Z,07008KT,na,olarrr,BR,na,SCT004,BKN013,na,22/21,Q1017,na
2016061007,SBKG,100700Z,08007KT,na,olarrr,BR,na,SCT004,BKN010,na,22/21,Q1018,na
2016061008,SBKG,100800Z,09008KT,na,olarrr,BR,na,SCT002,BKN007,na,22/22,Q1018,na
2016061009,SBKG,100900Z,10009KT,na,olarrr,BR,na,SCT003,BKN008,na,22/21,Q1019,na
2016061010,SBKG,101000Z,09007KT,na,olarrr,na,na,FEW005,BKN010,BKN015,22/21,Q1019,na
2016061011,SBKG,101100Z,09008KT,na,olarrr,na,na,SCT011,BKN015,na,24/21,Q1020,na
2016061012,SBKG,101200Z,11009KT,na,olarrr,na,na,SCT017,na,na,25/21,Q1020,na
2016061013,SBKG,101300Z,09009KT,na,olarrr,na,na,SCT020,na,na,27/20,Q1019,na
2016061014,SBKG,101400Z,10010KT,na,olarrr,na,na,BKN025,na,na,28/19,Q1019,na
2016061015,SBKG,101500Z,09008KT,na,olarrr,na,na,BKN040,na,na,29/19,Q1018,na
2016061016,SBKG,101600Z,13009KT,na,olarrr,na,na,BKN040,na,na,29/19,Q1017,na
2016061017,SBKG,101700Z,13007KT,na,olarrr,na,na,SCT044,na,na,29/19,Q1016,na
2016061018,SBKG,101800Z,09008KT,na,olarrr,na,na,na,na,na,29/18,Q1016,na
2016061019,SBKG,101900Z,09010KT,na,olarrr,na,na,FEW030,na,na,29/17,Q1017,na
2016061019,SBKG,101945Z,10011KT,na,olarrr,na,na,FEW030,na,na,27/20,Q1017,na
2016061100,SBKG,110015Z,09007KT,na,olarrr,na,na,FEW006,SCT013,na,22/21,Q1020,na
2016061101,SBKG,110100Z,09006KT,na,olarrr,na,na,FEW006,SCT011,na,22/21,Q1020,na
2016061102,SBKG,110200Z,09006KT,na,olarrr,na,na,SCT003,BKN010,na,22/21,Q1020,na
2016061103,SBKG,110300Z,13005KT,na,olarrr,na,na,SCT002,BKN010,na,21/21,Q1020,na
2016061104,SBKG,110400Z,11004KT,na,olarrr,na,na,SCT005,BKN010,BKN015,22/21,Q1019,na
2016061105,SBKG,110500Z,10007KT,na,olarrr,na,na,BKN010,BKN015,na,22/21,Q1019,na
2016061106,SBKG,110600Z,12003KT,na,olarrr,na,na,FEW004,BKN010,BKN015,21/21,Q1019,na
2016061107,SBKG,110700Z,10003KT,na,olarrr,na,na,BKN010,BKN015,na,21/20,Q1019,na
2016061108,SBKG,110800Z,12002KT,na,olarrr,na,na,BKN010,na,na,20/20,Q1019,na
2016061109,SBKG,110900Z,14003KT,na,olarrr,na,na,SCT011,SCT016,na,21/20,Q1019,na
2016061110,SBKG,111000Z,10005KT,na,olarrr,na,na,SCT010,SCT014,na,22/20,Q1020,na
2016061111,SBKG,111100Z,12008KT,na,olarrr,na,na,FEW011,SCT016,FEW020TCU,23/20,Q1021,na
2016061112,SBKG,111200Z,15007KT,na,olarrr,na,na,BKN018,na,na,24/20,Q1021,na
2016061113,SBKG,111300Z,12006KT,na,olarrr,na,na,SCT030,na,na,26/20,Q1021,na
2016061114,SBKG,111400Z,VRB05KT,na,olarrr,na,na,BKN033,na,na,27/18,Q1020,na
2016061115,SBKG,111500Z,14005KT,na,olarrr,na,na,SCT040,na,na,28/18,Q1019,na
